app_id,app_name,field,v1_value,final_value,official_evidence_url,human_v1_result,human_final_result,human_correction,human_notes
2,HubSpot,description,"HubSpot provides APIs to create, manage, and synchronize CRM contact, company, and deal records with other systems.","HubSpot provides APIs to create, manage, and synchronize CRM contact, company, and deal records with other systems.",https://developers.hubspot.com/docs/api-reference/crm-contacts-v3/guide,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official passage directly supports the product/API description; verification records it as official and claim-supported.
2,HubSpot,auth_methods,"oauth2, token","oauth2, token",https://developers.hubspot.com/docs/api/webhooks,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation identifies the listed authentication method(s); verification marked the supporting passage claim-supported.
2,HubSpot,credential_access,"admin_gated — A HubSpot super admin can create a legacy private app, select scopes, and reveal its access token.","admin_gated — A HubSpot super admin can create a legacy private app, select scopes, and reveal its access token.",https://developers.hubspot.com/docs/api/private-apps,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated access path/status; verification marked the supporting passage claim-supported.
2,HubSpot,api_styles,"HTTP API, webhooks","HTTP API, webhooks",https://developers.hubspot.com/docs/api-reference/overview,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation names the listed API style(s); verification marked the supporting passage claim-supported.
2,HubSpot,api_breadth,moderate,moderate,https://developers.hubspot.com/docs/api-reference/crm-contacts-v3/guide,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official endpoint/category evidence supports this qualitative breadth classification; verification recorded claim support.
2,HubSpot,mcp,official — HubSpot's official CLI repository and its releases describe MCP server tools and setup support.,official — HubSpot's official CLI repository and its releases describe MCP server tools and setup support.,https://github.com/HubSpot/hubspot-cli/releases,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official/vendor-controlled documentation or repository establishes the MCP status; verification marked the claim supported.
2,HubSpot,buildability,conditional — Super-admin access is required to create a private app and obtain its access token.,conditional — Super-admin access is required to create a private app and obtain its access token.,https://developers.hubspot.com/docs/api/private-apps,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated setup path and any blocker; verification marked the claim supported.
12,Intercom,description,"Intercom Helpdesk is a modern, AI-powered customer-service platform that provides tools, workflows, and insights for support agents.","Intercom Helpdesk is a modern, AI-powered customer-service platform that provides tools, workflows, and insights for support agents.",https://www.intercom.com/helpdesk,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official passage directly supports the product/API description; verification records it as official and claim-supported.
12,Intercom,auth_methods,"token, other","token, other",https://developers.intercom.com/docs,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation identifies the listed authentication method(s); verification marked the supporting passage claim-supported.
12,Intercom,credential_access,free — Create a free development workspace to access the Developer Hub; private apps can use an app Access Token.,free — Create a free development workspace to access the Developer Hub; private apps can use an app Access Token.,https://developers.intercom.com/docs,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated access path/status; verification marked the supporting passage claim-supported.
12,Intercom,api_styles,"REST, webhooks, JavaScript API","REST, webhooks, JavaScript API",https://www.intercom.com/help/en/articles/308-get-started-building-on-intercom,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation names the listed API style(s); verification marked the supporting passage claim-supported.
12,Intercom,api_breadth,broad,broad,https://www.intercom.com/help/en/articles/9071694-intercom-developer-faqs,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official endpoint/category evidence supports this qualitative breadth classification; verification recorded claim support.
12,Intercom,mcp,official — Intercom hosts a remote authenticated MCP server; the repository states it is currently supported only in US-hosted workspaces.,official — Intercom hosts a remote authenticated MCP server; the repository states it is currently supported only in US-hosted workspaces.,https://github.com/intercom/intercom-mcp-server,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official/vendor-controlled documentation or repository establishes the MCP status; verification marked the claim supported.
12,Intercom,buildability,conditional — A paid Intercom workspace is required for the documented private-app access-token path.,conditional — A paid Intercom workspace is required for the documented private-app access-token path.,https://developers.intercom.com/docs/references/introduction,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation supports the stated setup path and any blocker; verification marked the claim supported.
22,Twilio,description,"Twilio provides APIs that let applications send messages, make phone calls, and look up phone numbers.","Twilio provides APIs that let applications send messages, make phone calls, and look up phone numbers.",https://www.twilio.com/docs/usage/api?swcfpc=1,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official passage directly supports the product/API description; verification records it as official and claim-supported.
22,Twilio,auth_methods,"api_key, basic","api_key, basic",https://www.twilio.com/docs/usage/requests-to-twilio,correct,correct,,Applicant approved the AI-assisted review decisions on 2026-08-19. Stored official documentation identifies the listed authentication method(s); verification marked the supporting passage claim-supported.
